parent1,Code_ID,Variety_ID,Accession_ID,genetic.group,genotypic.main,beta.Tnight.Flo,beta.Ri.Early,beta.Psi.Flo,leaf.em.rate,nbFF,silking.pot,GW.geno
11430_usda,3101,11430,11430_H,Iodent,0,2.2,-0.58,3739.37,0.2327675737,16,68.9901812628,308.7130912087
A3_inra,3102,A3,A3_H,Other,-1454.2,48.2,1.63,6482.3,0.2247209597,15.3333333333,72.3381728656,291.0897063391
A310_inra,3008,A310,A310_H,Other,-1238.7,105.5,-5.01,7058.63,0.2196090549,16.3333333333,69.9118085688,318.0420778
A347_inra,3013,A347,A347_H,Other,-3763.3,181.6,-2.88,9522.91,0.2257532643,15.6666666667,72.372091572,297.7892419783
A374_inra,3017,A374,A374_H,Other,1030.9,-10.6,-1.09,4609.36,0.2225557821,16.6666666667,72.0334742297,274.1825789696
A375_inra,3103,A375,A375_H,Other,-1120.9,71.9,-1.37,6133.51,0.221972757,15.6666666667,70.4173925249,292.4183568739
A554_inra,3221,A554,A554_H,Other,-1732.2,76.7,-1.64,7934.09,0.2308036255,15.3333333333,67.9055915613,292.0030461
AS5707_usda,3067,AS5707,AS5707_H,Lancaster,-2721.2,120.3,2.05,4943.26,0.2019420959,16.3333333333,75.3548075975,308.9112307783
B100_uh,3019,B100,B100_H,Lancaster,-2001.6,92.4,0.52,6345.38,0.2270313297,16,71.7449723422,318.8690282087
B104_inra,3029,B104,B104_H,Stiff_Stalk,-320.3,19.2,0.66,2814.98,0.2369164051,16.6666666667,74.6417302639,337.2965334478
B105_inra,3012,B105,B105_H,Other,-1644,55.4,2.32,4875.48,0.2344370603,15.6666666667,72.5464715617,321.1687585826
B106_inra,3066,B106,B106_H,Other,-1557.1,69.5,0.82,4267.95,0.2349248317,17.3333333333,75.5449114843,305.527208187
B107_inra,3053,B107,B107_H,Iodent,-648.6,41.3,-0.69,6106.31,0.1982903779,15.6666666667,73.0987016558,330.2785631739
B108_uh,3074,B108,B108_H,Other,-3820.6,162.6,1.66,5465.85,0.2264590989,17,72.2664292154,303.2823364304
B109_uh,3104,B109,B109_H,Stiff_Stalk,597.2,-7.2,0.46,1707.28,0.2216720825,15.5,72.4509179411,320.3518189478
B110_uh,3105,B110,B110_H,Stiff_Stalk,-2326.4,127.6,0.5,4691.14,0.2429282615,17,74.1654882128,328.5856307043
B113_uh,3059,B113,B113_H,Other,-453.8,37.9,1.1,2149.8,0.2276947721,17.3333333333,74.7071637192,281.8217590739
B37_inra,3085,B37,B37_H,Other,-817.9,39.1,0.89,2512.33,0.2224670241,16,75.2056497734,324.9158738087
B73_inra,3001,B73,B73_H,Stiff_Stalk,494.4,-10.2,1.04,1997.35,0.2284277796,16,72.5290120928,300.5839334696
B84_inra,3009,B84,B84_H,Stiff_Stalk,-403.4,49.4,-1.63,4585.04,0.2242313115,16.5,75.1486856722,328.1797661087
B89_inra,3030,B89,B89_H,Other,-2539.2,100.6,0.72,5993.97,0.2346234218,15,70.98450408,307.3211186435
B97_usa,3027,B97,B97_H,Other,-302.6,44.6,-0.61,4923.4,0.2183329329,16.5,72.9947145736,322.3667340913
B98_uh,3079,B98,B98_H,Other,-1199.5,47.2,3.63,201.82,0.2196571165,16,78.2852261898,299.8575020348
C103_inra,3106,C103,C103_H,Other,-2989.9,96.7,3,2228.22,0.2005834103,16.3333333333,79.9059448807,328.982335013
CO109_inra,3050,CO109,CO109_H,Other,-2213.1,104.8,-2.73,6782.96,0.2248860493,14.6666666667,68.4336675438,294.3420780304
CR1Ht_usda,3107,CR1Ht,CR1Ht_H,Lancaster,-2071.5,82.5,0.64,5318.49,0.2253382857,15.5,67.9492347887,328.9196739261
D09_uh,3108,D09,D09_H,Other,-582.9,49.3,-3.74,6278.77,0.2406231674,15.3333333333,66.5222939545,279.2951472478
DE811_inra,3109,DE811,DE811_H,Stiff_Stalk,-1068.8,43.3,2.27,4730.73,0.2158960304,16,75.9108866479,307.3231333478
DK4676A_usda,3097,DK4676A,DK4676A_H,Stiff_Stalk,-1457.5,76.8,-2.23,5975.94,0.2304872784,16,66.9633680277,336.5589936522
DK78010_usda,3110,DK78010,DK78010_H,Stiff_Stalk,-1073.9,65.1,-1.51,6144.44,0.2308396765,16.6666666667,68.5336164445,328.0890504652
DK78371A_usda,3056,DK78371A,DK78371A_H,Lancaster,-479.4,-3.7,2.22,2282.27,0.2084789919,16,73.9321529636,341.070051413
DKFAPW_usda,3111,DKFAPW,DKFAPW_H,Stiff_Stalk,307.1,0.9,-0.62,3329.11,0.2408810665,15.6666666667,69.9677004047,298.0250681565
DKFBHJ_usda,3081,DKFBHJ,DKFBHJ_H,Stiff_Stalk,-2057.3,91.2,-0.33,5399.12,0.235293464,16.3333333333,69.9987939307,313.9325562304
DKIBO2_usda,3112,DKIBO2,DKIBO2_H,Iodent,-1659.2,60.4,-0.23,6744.48,0.236787101,16,67.4935219994,321.6553345826
DKMBST_usda,3113,DKMBST,DKMBST_H,Lancaster,1620.7,-75.7,1.45,1700.61,0.2194161527,16.25,74.0707102126,318.2472680783
EM1027_inra,3120,EA1027,EA1027_H,Other,-2322.6,116.4,-2.9,6015.22,0.2118294816,16,73.7993475648,334.8071221913
EM1163_inra,3070,EA1163,EA1163_H,Other,-2471.5,101.6,-1.17,6476.69,0.2398559328,16,68.5166267752,282.480029387
EA3076_csic,3090,EA3076,EA3076_H,Other,-2313.4,103.9,0.45,4650.07,0.2464016638,17.3333333333,74.003788846,303.4096111435
EC136_ciam,3087,EC136,EC136_H,Stiff_Stalk,-2163.3,103.4,-1.03,3760.53,0.2227314455,15,67.4646121841,320.5913263522
EC140_ciam,3114,EC140,EC140_H,Stiff_Stalk,-472,22.6,0.83,4529.69,0.217196002,16,69.0793465282,290.8698312
EC151_ciam,3115,EC151,EC151_H,Stiff_Stalk,-19.4,29.8,-1.86,6052.17,0.2239991661,17,72.3708079677,286.2127347565
EC169_ciam,3116,EC169,EC169_H,Stiff_Stalk,1094.6,-40.9,-2.28,5256.74,0.2348444379,16.75,69.3005828244,289.5676056913
EC175_ciam,3117,EC175,EC175_H,Stiff_Stalk,-994.5,22.6,0.2,7305.79,0.2401159304,16.3333333333,71.322006016,291.9513226652
EC232_ciam,3033,EC232,EC232_H,Other,-1879.8,88,-1.98,7951.86,0.2331738999,16,68.734074024,322.9827289304
EC242C_ciam,3118,EC242C,EC242C_H,Iodent,1057.9,-31.6,-2.02,5981.83,0.2354176607,17,66.9648800986,306.2217537609
EC334_ciam,3119,EC334,EC334_H,Other,-1204.6,45.5,1.05,6449.63,0.2441667039,16.3333333333,74.1083584964,310.672502287
EP10_csic,3092,EP10,EP10_H,Other,-1609.8,83.7,-3.38,4182.04,0.2300369722,15.3333333333,70.4908957944,301.6479496435
EP2008-18_csic,3035,EP2008-18,EP2008-18_H,Lancaster,-1801.2,94.4,-0.27,4000.07,0.2128987415,15,71.1299279359,328.4272444043
EP2008-22_csic,3121,EP2008-22,EP2008-22_H,Lancaster,-2471.4,118.7,-1.92,6262.49,0.2259809557,14.6666666667,69.311701393,339.3485050391
EP29_csic,3098,EP29,EP29_H,Other,-406.7,43.1,-1.08,3244.73,0.2292865976,16,70.0223097784,307.3527974478
EP51_csic,3076,EP51,EP51_H,Other,-2114.6,82.6,0.04,5513.62,0.2324710597,16.3333333333,68.3276106456,321.8469712913
EP52_csic,3014,EP52,EP52_H,Other,-401.4,39.7,-2.24,5051.62,0.2346071365,15.3333333333,71.854680606,330.5542563913
EP55_csic,3078,EP55,EP55_H,Other,-2184,109.6,-1.62,7184.51,0.2279083374,16,71.1665174123,281.0008380522
EP67_csic,3122,EP67,EP67_H,Other,-840.4,47.6,-2.22,5559.38,0.2273762934,15.25,69.1575745796,287.3679096391
EP72_csic,3123,EP72,EP72_H,Other,-188,14.8,-0.79,4226.6,0.2083170861,16,74.6581428478,245.8751187217
EP77_csic,3124,EP77,EP77_H,Other,-1426.4,70.5,-0.37,2282.79,0.2380576882,15,68.0031694607,265.7578400478
EZ11A_csic,3020,EZ11A,EZ11A_H,Other,-1461,94.8,-0.12,2968.58,0.2038923492,15.6666666667,73.6465538748,323.4545109304
EZ18_csic,3125,EZ18,EZ18_H,Other,-1203.3,75.5,0.11,2608.27,0.211301718,15.6666666667,79.6705616302,309.8145577609
EZ31_csic,3126,EZ31,EZ31_H,Stiff_Stalk,-358.3,4.5,1.66,2158.48,0.2395357778,17,73.7444323847,309.1119265217
EZ35_csic,3127,EZ35,EZ35_H,Other,-1010.5,39,1.58,4329.4,0.2250620605,15.75,72.2045656911,304.6801979609
EZ36_csic,3128,EZ36,EZ36_H,Other,-2756.7,144.2,0.51,5486.75,0.21675017,16,73.3382269567,295.6789398087
EZ37_csic,3021,EZ37,EZ37_H,Stiff_Stalk,749.1,-8,-1.79,2945.71,0.2402672417,17.3333333333,72.8050504924,315.1653379652
EZ38_csic,3129,EZ38,EZ38_H,Other,-585,33,0.2,4376.07,0.2225701546,16.3333333333,75.7810394385,316.8766808565
EZ40_csic,3044,EZ40,EZ40_H,Stiff_Stalk,-722.9,44.5,0.57,6173.53,0.2186875395,16,71.7820087482,296.8555367609
EZ42_csic,3130,EZ42,EZ42_H,Stiff_Stalk,-94,11.3,0.23,5416.88,0.234603191,16.6666666667,72.029707919,307.090036887
EZ47_csic,3006,EZ47,EZ47_H,Other,-3289.9,123,3.55,7069.66,0.2265281529,15.25,70.9424378484,303.4647670696
EZ48_csic,3132,EZ48,EZ48_H,Stiff_Stalk,353.4,-9.2,0.88,2241.99,0.203175972,16,78.7661551452,314.2785297043
F04401_inra,3134,F04401,F04401_H,Iodent,-475.6,43,-2.19,7085.86,0.2175700567,16.3333333333,68.2639791758,323.1636949217
F04402_inra,3135,F04402,F04402_H,Iodent,-1199.7,57.3,-1.16,7223.35,0.2135190609,16,67.7161740378,346.4073002957
F04701_inra,3136,F04701,F04701_H,Lancaster,-311.3,9.1,0.84,2991.88,0.1975342308,15,72.4706203275,331.2083095609
F04702_inra,3137,F04702,F04702_H,Lancaster,248.1,-21,-0.01,3626.47,0.2097515456,15.3333333333,71.194641155,332.0452080913
F05101_inra,3138,F05101,F05101_H,Stiff_Stalk,28.2,10.1,-1.02,5869.13,0.2395456227,16.3333333333,69.0072717333,320.8372709478
F05404_inra,3139,F05404,F05404_H,Iodent,-760.4,37.8,1.21,6052,0.225358253,16,70.0960137737,306.2200337609
F1808_inra,3022,F1808,F1808_H,Stiff_Stalk,-841,53.9,-1.49,5688.32,0.2226086756,16,68.583945747,325.3783703
FC1890_inra,3016,F1890,F1890_H,Iodent,-652.6,41.9,-1.01,7351.19,0.2282255394,15.75,70.5554303915,323.0685291739
FV218_inra,3152,F218,F218_H,Other,-1935,97.2,-4.45,9316.79,0.2310947838,15,67.8068748945,317.9836473696
FV252_inra,3153,F252,F252_H,Other,-3206.6,138.8,-3.29,9707.38,0.2277079813,15,65.4144622223,277.2171294478
FV353_inra,3086,F353,F353_H,Iodent,-1131.6,54.4,-2.09,7481.21,0.2285995061,15.25,67.5830433929,312.8032035652
FV354_inra,3154,F354,F354_H,Other,-2679.5,129.5,-1.23,10905.04,0.2157373802,15.3333333333,67.9507676185,269.5099398522
F608_inra,3140,F608,F608_H,Other,-1554.4,63.3,1.87,5626.24,0.2148330901,15,71.2845980737,277.778933287
F618_inra,3141,F618,F618_H,Other,479.6,-9.4,-1.43,5067.64,0.2320300396,15.5,70.8142355131,326.4783109957
F7001_inra,3040,F7001,F7001_H,Other,-470.3,40.3,-1.07,5106.26,0.2327443961,17,72.8368031884,281.3599735783
F7019_inra,3142,F7019,F7019_H,Other,-1130.7,62.7,-1.97,6371.03,0.2306811622,16,67.8476136825,309.9932679609
F7025_inra,3049,F7025,F7025_H,Stiff_Stalk,-1335.3,61.4,-0.56,5451.34,0.2326177572,16,69.2430378582,307.0568094348
F7028_inra,3015,F7028,F7028_H,Other,-111.5,35.2,-0.89,3330.89,0.2201133155,16,70.636409842,269.3120388478
F7057_inra,3144,F7057,F7057_H,Other,-945.5,47.7,-0.24,5462.61,0.220818895,15.5,69.7670422375,288.3938772217
F7058_inra,3143,F7058,F7058_H,Other,-535.5,37.8,-2.1,5763.22,0.2280713827,16,69.7185343796,292.1072904826
F7081_inra,3036,F7081,F7081_H,Other,162.8,16.4,-2.57,5247.06,0.2351019859,16.75,71.9798332772,307.9881371957
F7082_inra,3145,F7082,F7082_H,Other,-771.5,47.8,-2.87,7718.91,0.2343414798,15.75,68.8602042354,299.7729570304
F712_inra,3057,F712,F712_H,Other,421.9,0.9,-0.91,4552.65,0.2307624511,17,73.5686134162,283.3384051696
F748_inra,3054,F748,F748_H,Lancaster,-1335,55.2,1.59,4741.68,0.2198091301,15.6666666667,73.2996669452,304.1253776043
F752_inra,3146,F752,F752_H,Other,-2166.2,89,2.37,4395.44,0.2159814846,16.3333333333,75.085209967,307.5402404565
F838_inra,3028,F838,F838_H,Other,-934.8,68.3,-0.26,4206.11,0.2153932614,16.6666666667,74.0439917819,287.3404068174
F874_inra,3147,F874,F874_H,Other,-1808.2,78.5,-3.43,8086.26,0.2273826105,14.6666666667,67.0256015791,318.290757713
F888_inra,3148,F888,F888_H,Other,-1159.5,30.7,2.07,4359.99,0.2413350945,16.5,71.6041493238,292.8883267478
F894_inra,3010,F894,F894_H,Other,-684.4,41.7,0.31,3682.61,0.2308481482,17.3333333333,74.0022993114,310.2531183739
F908_inra,3149,F908,F908_H,Other,-1044.6,45.2,-1.16,5636.43,0.2261660534,16,68.2051275852,292.1116112913
F912_inra,3011,F912,F912_H,Iodent,-550.5,18.6,0.85,6779.88,0.2155567339,15,69.9597871752,300.5391824609
F918_inra,3065,F918,F918_H,Other,-708,56.8,-2.08,5392.82,0.2341479685,16.75,72.5088921133,336.4625504565
F922_inra,3150,F922,F922_H,Other,91.8,12,-1.4,7002.19,0.2201818143,16,68.848233915,289.0052082957
F924_inra,3043,F924,F924_H,Stiff_Stalk,-542.7,38.6,0.73,4861.51,0.2175044362,16.3333333333,69.4289638037,304.4919902174
F98902_inra,3084,F98902,F98902_H,Iodent,275.9,-17.6,0.8,5073.81,0.2350390812,15.75,69.2924267916,308.1815245913
FP1_inra,3151,FP1,FP1_H,Other,-1237.5,72.1,-0.69,3516.95,0.2432941835,15.25,70.1420861283,280.7911841348
FR19_usda,3018,FR19,FR19_H,Other,-1690.8,86.4,-0.87,4454.63,0.2281055225,15.6666666667,72.5027561872,290.4099049913
FR697_ifsi,3222,FR697,FR697_H,Lancaster,-988.6,36,1.28,4335.99,0.2149859678,15.5,73.8782846535,344.5825175348
H99_inra,3155,H99,H99_H,Lancaster,-1582.7,78.9,-0.69,5214.15,0.2300721969,15.6666666667,72.3037766464,312.2610516261
HMV5301_Martonvasar,3156,HMV5301,HMV5301_H,Iodent,-1774.3,89.4,-0.83,6962.74,0.2232370452,15.3333333333,69.2287288784,365.1617961565
HMV5325_Martonvasar,3058,HMV5325,HMV5325_H,Stiff_Stalk,-937.6,52.2,-0.19,7387.83,0.2250252744,16.3333333333,69.1513229486,299.5294465043
HMV5343_Martonvasar,3157,HMV5343,HMV5343_H,Stiff_Stalk,-1106.6,74.5,-2.16,5437.51,0.2248687532,16.3333333333,68.6143698257,328.8330904043
HMV5347_Martonvasar,3158,HMV5347,HMV5347_H,Stiff_Stalk,-2917.5,144.8,-1.63,8313.45,0.2357350903,16.3333333333,68.4070431395,329.2040577913
HMV5405_Martonvasar,3042,HMV5405,HMV5405_H,Iodent,-592.3,43.5,-1.46,6512.91,0.2261379863,16.6666666667,69.0903851732,338.1846273913
HMV5409_Martonvasar,3159,HMV5409,HMV5409_H,Other,-1652.6,85,-1.65,6723.12,0.2333947511,16,69.3525122847,347.3456522087
HMV5422_Martonvasar,3037,HMV5422,HMV5422_H,Stiff_Stalk,-839.9,55.8,1.01,5933.69,0.2148732482,16.3333333333,71.6990608815,298.9222341609
HMV5502_Martonvasar,3160,HMV5502,HMV5502_H,Iodent,-837.9,62,-0.62,4624.52,0.24265637,17.3333333333,73.8765262573,317.4550468261
I198_inra,3161,I198,I198_H,Other,-2268.7,103.4,1.73,4622.52,0.2165358485,15.6666666667,76.8212859684,282.9901405217
I233_inra,3164,I233,I233_H,Other,-2146,85.5,3.82,3163.03,0.2162924398,15.6666666667,80.5479644526,304.6509034043
I238_inra,3165,I238,I238_H,Other,254.7,14.9,0.84,1005.46,0.2233245092,16.3333333333,73.908915571,271.0057012478
I242_inra,3166,I242,I242_H,Other,-3094,126.4,2.12,5203.63,0.2303207882,16,74.7101485381,292.7157129087
I261_inra,3167,I261,I261_H,Other,-1069.3,62,-0.48,4249.32,0.2241751652,15.6666666667,74.438431136,298.5115827826
I267_inra,3168,I267,I267_H,Other,-3119.9,142.8,0.6,4718.48,0.224331202,17.3333333333,75.7625696851,300.8237088043
IDT_inra,3169,IDT,IDT_H,Other,-2785.7,122.5,0.01,4612.42,0.2184414208,16,74.4171504999,341.9497354391
LAN496_inra,3034,LAN496,LAN496_H,Other,-232.6,-1.4,-0.14,4591.56,0.2433374655,16.75,74.5610894233,290.7906145217
